:======================================================================:
|     Appendix A List of MS-DRGs Version 36.0     |
814 16  M  RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH MCC
815 16  M  RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITH CC
816 16  M  RETICULOENDOTHELIAL AND IMMUNITY DISORDERS WITHOUT CC/MCC
817 14  P  OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURE WITH MCC
818 14  P  OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURE WITH CC
819 14  P  OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURE WITHOUT CC/MCC
820 17  P  LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURE WITH MCC
821 17  P  LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURE WITH CC
822 17  P  LYMPHOMA AND LEUKEMIA WITH MAJOR O.R. PROCEDURE WITHOUT CC/MCC
823 17  P  LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURE WITH MCC
824 17  P  LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURE WITH CC
825 17  P  LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER PROCEDURE WITHOUT CC/MCC
826 17  P  MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURE WITH MCC
827 17  P  MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURE WITH CC
828 17  P  MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURE WITHOUT CC/MCC
829 17  P  MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER PROCEDURE WITH CC/MCC
830 17  P  MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH OTHER PROCEDURE WITHOUT CC/MCC
831 14  M  OTHER ANTEPARTUM DIAGNOSES WITHOUT O.R. PROCEDURE WITH MCC
832 14  M  OTHER ANTEPARTUM DIAGNOSES WITHOUT O.R. PROCEDURE WITH CC
833 14  M  OTHER ANTEPARTUM DIAGNOSES WITHOUT O.R. PROCEDURE WITHOUT CC/MCC
834 17  M  ACUTE LEUKEMIA WITHOUT MAJOR O.R. PROCEDURE WITH MCC
835 17  M  ACUTE LEUKEMIA WITHOUT MAJOR O.R. PROCEDURE WITH CC
836 17  M  ACUTE LEUKEMIA WITHOUT MAJOR O.R. PROCEDURE WITHOUT CC/MCC
837 17  M  CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SDX OR WITH HIGH DOSE CHEMOTHERAPY AGENT WITH MCC
838 17  M  CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SDX WITH CC OR HIGH DOSE CHEMOTHERAPY AGENT
839 17  M  CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SDX WITHOUT CC/MCC
840 17  M  LYMPHOMA AND NON-ACUTE LEUKEMIA WITH MCC
841 17  M  LYMPHOMA AND NON-ACUTE LEUKEMIA WITH CC
842 17  M  LYMPHOMA AND NON-ACUTE LEUKEMIA WITHOUT CC/MCC
843 17  M  OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITH MCC
844 17  M  OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITH CC
845 17  M  OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITHOUT CC/MCC
846 17  M  CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH MCC
847 17  M  CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITH CC
848 17  M  CHEMOTHERAPY WITHOUT ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS WITHOUT CC/MCC
849 17  M  RADIOTHERAPY
853 18  P  INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURE WITH MCC
854 18  P  INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURE WITH CC
855 18  P  INFECTIOUS AND PARASITIC DISEASES WITH O.R. PROCEDURE WITHOUT CC/MCC
856 18  P  POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURE WITH MCC
857 18  P  POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURE WITH CC
858 18  P  POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURE WITHOUT CC/MCC
862 18  M  POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITH MCC
863 18  M  POSTOPERATIVE AND POST-TRAUMATIC INFECTIONS WITHOUT MCC
864 18  M  FEVER AND INFLAMMATORY CONDITIONS
865 18  M  VIRAL ILLNESS WITH MCC
866 18  M  VIRAL ILLNESS WITHOUT MCC
867 18  M  OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITH MCC
868 18  M  OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITH CC
869 18  M  OTHER INFECTIOUS AND PARASITIC DISEASES DIAGNOSES WITHOUT CC/MCC
870 18  P  SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO)
871 18  M  SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
872 18  M  SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC
876 19  P  O.R. PROCEDURE WITH PRINCIPAL DIAGNOSES OF MENTAL ILLNESS
880 19  M  ACUTE ADJUSTMENT REACTION AND PSYCHOSOCIAL DYSFUNCTION
881 19  M  DEPRESSIVE NEUROSES
882 19  M  NEUROSES EXCEPT DEPRESSIVE
883 19  M  DISORDERS OF PERSONALITY AND IMPULSE CONTROL
884 19  M  ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY
885 19  M  PSYCHOSES
886 19  M  BEHAVIORAL AND DEVELOPMENTAL DISORDERS
887 19  M  OTHER MENTAL DISORDER DIAGNOSES
894 20  M  ALCOHOL, DRUG ABUSE OR DEPENDENCE, LEFT AMA
895 20  M  ALCOHOL, DRUG ABUSE OR DEPENDENCE WITH REHABILITATION THERAPY
896 20  M  ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITH MCC
897 20  M  ALCOHOL, DRUG ABUSE OR DEPENDENCE WITHOUT REHABILITATION THERAPY WITHOUT MCC
901 21  P  WOUND DEBRIDEMENTS FOR INJURIES WITH MCC
902 21  P  WOUND DEBRIDEMENTS FOR INJURIES WITH CC
903 21  P  WOUND DEBRIDEMENTS FOR INJURIES WITHOUT CC/MCC
904 21  P  SKIN GRAFTS FOR INJURIES WITH CC/MCC
905 21  P  SKIN GRAFTS FOR INJURIES WITHOUT CC/MCC
906 21  P  HAND PROCEDURES FOR INJURIES
907 21  P  OTHER O.R. PROCEDURES FOR INJURIES WITH MCC
908 21  P  OTHER O.R. PROCEDURES FOR INJURIES WITH CC
909 21  P  OTHER O.R. PROCEDURES FOR INJURIES WITHOUT CC/MCC
913 21  M  TRAUMATIC INJURY WITH MCC
914 21  M  TRAUMATIC INJURY WITHOUT MCC
915 21  M  ALLERGIC REACTIONS WITH MCC
916 21  M  ALLERGIC REACTIONS WITHOUT MCC
917 21  M  POISONING AND TOXIC EFFECTS OF DRUGS WITH MCC
918 21  M  POISONING AND TOXIC EFFECTS OF DRUGS WITHOUT MCC
919 21  M  COMPLICATIONS OF TREATMENT WITH MCC
920 21  M  COMPLICATIONS OF TREATMENT WITH CC
921 21  M  COMPLICATIONS OF TREATMENT WITHOUT CC/MCC
922 21  M  OTHER INJURY, POISONING AND TOXIC EFFECT DIAGNOSES WITH MCC
923 21  M  OTHER INJURY, POISONING AND TOXIC EFFECT DIAGNOSES WITHOUT MCC
927 22  P  EXTENSIVE BURNS OR FULL THICKNESS BURNS WITH MV >96 HOURS WITH SKIN GRAFT
928 22  P  FULL THICKNESS BURN WITH SKIN GRAFT OR INHALATION INJURY WITH CC/MCC
929 22  P  FULL THICKNESS BURN WITH SKIN GRAFT OR INHALATION INJURY WITHOUT CC/MCC
933 22  M  EXTENSIVE BURNS OR FULL THICKNESS BURNS WITH MV >96 HOURS WITHOUT SKIN GRAFT
934 22  M  FULL THICKNESS BURN WITHOUT SKIN GRAFT OR INHALATION INJURY
935 22  M  NON-EXTENSIVE BURNS
939 23  P  O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITH MCC
940 23  P  O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITH CC
941 23  P  O.R. PROCEDURES WITH DIAGNOSES OF OTHER CONTACT WITH HEALTH SERVICES WITHOUT CC/MCC
945 23  M  REHABILITATION WITH CC/MCC
946 23  M  REHABILITATION WITHOUT CC/MCC
947 23  M  SIGNS AND SYMPTOMS WITH MCC
948 23  M  SIGNS AND SYMPTOMS WITHOUT MCC
949 23  M  AFTERCARE WITH CC/MCC
950 23  M  AFTERCARE WITHOUT CC/MCC
951 23  M  OTHER FACTORS INFLUENCING HEALTH STATUS
955 24  P  CRANIOTOMY FOR MULTIPLE SIGNIFICANT TRAUMA
956 24  P  LIMB REATTACHMENT, HIP AND FEMUR PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA
957 24  P  OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITH MCC
958 24  P  OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITH CC
959 24  P  OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA WITHOUT CC/MCC
963 24  M  OTHER MULTIPLE SIGNIFICANT TRAUMA WITH MCC
964 24  M  OTHER MULTIPLE SIGNIFICANT TRAUMA WITH CC
965 24  M  OTHER MULTIPLE SIGNIFICANT TRAUMA WITHOUT CC/MCC
969 25  P  HIV WITH EXTENSIVE O.R. PROCEDURE WITH MCC
970 25  P  HIV WITH EXTENSIVE O.R. PROCEDURE WITHOUT MCC
974 25  M  HIV WITH MAJOR RELATED CONDITION WITH MCC
975 25  M  HIV WITH MAJOR RELATED CONDITION WITH CC
976 25  M  HIV WITH MAJOR RELATED CONDITION WITHOUT CC/MCC
977 25  M  HIV WITH OR WITHOUT OTHER RELATED CONDITION
981     P  EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC
982     P  EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC
983     P  EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT CC/MCC
987     P  NON-EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITH MCC
988     P  NON-EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC
989     P  NON-EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT CC/MCC
998        PRINCIPAL DIAGNOSIS INVALID AS DISCHARGE DIAGNOSIS
999        UNGROUPABLE
