=================================================================================
MDC 08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue
=================================================================================

MDC 08 Assignment of Diagnosis Codes

  A0223   Salmonella arthritis
  0SJK0ZZ Inspection of Right Tarsometatarsal Joint, Open Approach
  0SJL0ZZ Inspection of Left Tarsometatarsal Joint, Open Approach
  0SJM0ZZ Inspection of Right Metatarsal-Phalangeal Joint, Open Approach
  0SJN0ZZ Inspection of Left Metatarsal-Phalangeal Joint, Open Approach
  0SJP0ZZ Inspection of Right Toe Phalangeal Joint, Open Approach
  0SJQ0ZZ Inspection of Left Toe Phalangeal Joint, Open Approach
  0SNH0ZZ Release Right Tarsal Joint, Open Approach
  0SNH3ZZ Release Right Tarsal Joint, Percutaneous Approach
  0SNH4ZZ Release Right Tarsal Joint, Percutaneous Endoscopic Approach
  0SNJ0ZZ Release Left Tarsal Joint, Open Approach
  0SNJ3ZZ Release Left Tarsal Joint, Percutaneous Approach
  0SNJ4ZZ Release Left Tarsal Joint, Percutaneous Endoscopic Approach
  0SNK0ZZ Release Right Tarsometatarsal Joint, Open Approach
  0SNK3ZZ Release Right Tarsometatarsal Joint, Percutaneous Approach
  0SNK4ZZ Release Right Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SNL0ZZ Release Left Tarsometatarsal Joint, Open Approach
  0SNL3ZZ Release Left Tarsometatarsal Joint, Percutaneous Approach
  0SNL4ZZ Release Left Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SNM0ZZ Release Right Metatarsal-Phalangeal Joint, Open Approach
  0SNM3ZZ Release Right Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SNM4ZZ Release Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SNN0ZZ Release Left Metatarsal-Phalangeal Joint, Open Approach
  0SNN3ZZ Release Left Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SNN4ZZ Release Left Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SNP0ZZ Release Right Toe Phalangeal Joint, Open Approach
  0SNP3ZZ Release Right Toe Phalangeal Joint, Percutaneous Approach
  0SNP4ZZ Release Right Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SNQ0ZZ Release Left Toe Phalangeal Joint, Open Approach
  0SNQ3ZZ Release Left Toe Phalangeal Joint, Percutaneous Approach
  0SNQ4ZZ Release Left Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPH00Z Removal of Drainage Device from Right Tarsal Joint, Open Approach
  0SPH03Z Removal of Infusion Device from Right Tarsal Joint, Open Approach
  0SPH04Z Removal of Internal Fixation Device from Right Tarsal Joint, Open Approach
  0SPH05Z Removal of External Fixation Device from Right Tarsal Joint, Open Approach
  0SPH07Z Removal of Autologous Tissue Substitute from Right Tarsal Joint, Open Approach
  0SPH0KZ Removal of Nonautologous Tissue Substitute from Right Tarsal Joint, Open Approach
  0SPH34Z Removal of Internal Fixation Device from Right Tarsal Joint, Percutaneous Approach
  0SPH35Z Removal of External Fixation Device from Right Tarsal Joint, Percutaneous Approach
  0SPH37Z Removal of Autologous Tissue Substitute from Right Tarsal Joint, Percutaneous Approach
  0SPH3KZ Removal of Nonautologous Tissue Substitute from Right Tarsal Joint, Percutaneous Approach
  0SPH40Z Removal of Drainage Device from Right Tarsal Joint, Percutaneous Endoscopic Approach
  0SPH43Z Removal of Infusion Device from Right Tarsal Joint, Percutaneous Endoscopic Approach
  0SPH44Z Removal of Internal Fixation Device from Right Tarsal Joint, Percutaneous Endoscopic Approach
  0SPH45Z Removal of External Fixation Device from Right Tarsal Joint, Percutaneous Endoscopic Approach
  0SPH47Z Removal of Autologous Tissue Substitute from Right Tarsal Joint, Percutaneous Endoscopic Approach
  0SPH4KZ Removal of Nonautologous Tissue Substitute from Right Tarsal Joint, Percutaneous Endoscopic Approach
  0SPJ00Z Removal of Drainage Device from Left Tarsal Joint, Open Approach
  0SPJ03Z Removal of Infusion Device from Left Tarsal Joint, Open Approach
  0SPJ04Z Removal of Internal Fixation Device from Left Tarsal Joint, Open Approach
  0SPJ05Z Removal of External Fixation Device from Left Tarsal Joint, Open Approach
  0SPJ07Z Removal of Autologous Tissue Substitute from Left Tarsal Joint, Open Approach
  0SPJ0KZ Removal of Nonautologous Tissue Substitute from Left Tarsal Joint, Open Approach
  0SPJ34Z Removal of Internal Fixation Device from Left Tarsal Joint, Percutaneous Approach
  0SPJ35Z Removal of External Fixation Device from Left Tarsal Joint, Percutaneous Approach
  0SPJ37Z Removal of Autologous Tissue Substitute from Left Tarsal Joint, Percutaneous Approach
  0SPJ3KZ Removal of Nonautologous Tissue Substitute from Left Tarsal Joint, Percutaneous Approach
  0SPJ40Z Removal of Drainage Device from Left Tarsal Joint, Percutaneous Endoscopic Approach
  0SPJ43Z Removal of Infusion Device from Left Tarsal Joint, Percutaneous Endoscopic Approach
  0SPJ44Z Removal of Internal Fixation Device from Left Tarsal Joint, Percutaneous Endoscopic Approach
  0SPJ45Z Removal of External Fixation Device from Left Tarsal Joint, Percutaneous Endoscopic Approach
  0SPJ47Z Removal of Autologous Tissue Substitute from Left Tarsal Joint, Percutaneous Endoscopic Approach
  0SPJ4KZ Removal of Nonautologous Tissue Substitute from Left Tarsal Joint, Percutaneous Endoscopic Approach
  0SPK00Z Removal of Drainage Device from Right Tarsometatarsal Joint, Open Approach
  0SPK03Z Removal of Infusion Device from Right Tarsometatarsal Joint, Open Approach
  0SPK04Z Removal of Internal Fixation Device from Right Tarsometatarsal Joint, Open Approach
  0SPK05Z Removal of External Fixation Device from Right Tarsometatarsal Joint, Open Approach
  0SPK07Z Removal of Autologous Tissue Substitute from Right Tarsometatarsal Joint, Open Approach
  0SPK0KZ Removal of Nonautologous Tissue Substitute from Right Tarsometatarsal Joint, Open Approach
  0SPK34Z Removal of Internal Fixation Device from Right Tarsometatarsal Joint, Percutaneous Approach
  0SPK35Z Removal of External Fixation Device from Right Tarsometatarsal Joint, Percutaneous Approach
  0SPK37Z Removal of Autologous Tissue Substitute from Right Tarsometatarsal Joint, Percutaneous Approach
  0SPK3KZ Removal of Nonautologous Tissue Substitute from Right Tarsometatarsal Joint, Percutaneous Approach
  0SPK40Z Removal of Drainage Device from Right Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SPK43Z Removal of Infusion Device from Right Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SPK44Z Removal of Internal Fixation Device from Right Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SPK45Z Removal of External Fixation Device from Right Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SPK47Z Removal of Autologous Tissue Substitute from Right Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SPK4KZ Removal of Nonautologous Tissue Substitute from Right Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SPL00Z Removal of Drainage Device from Left Tarsometatarsal Joint, Open Approach
  0SPL03Z Removal of Infusion Device from Left Tarsometatarsal Joint, Open Approach
  0SPL04Z Removal of Internal Fixation Device from Left Tarsometatarsal Joint, Open Approach
  0SPL05Z Removal of External Fixation Device from Left Tarsometatarsal Joint, Open Approach
  0SPL07Z Removal of Autologous Tissue Substitute from Left Tarsometatarsal Joint, Open Approach
  0SPL0KZ Removal of Nonautologous Tissue Substitute from Left Tarsometatarsal Joint, Open Approach
  0SPL34Z Removal of Internal Fixation Device from Left Tarsometatarsal Joint, Percutaneous Approach
  0SPL35Z Removal of External Fixation Device from Left Tarsometatarsal Joint, Percutaneous Approach
  0SPL37Z Removal of Autologous Tissue Substitute from Left Tarsometatarsal Joint, Percutaneous Approach
  0SPL3KZ Removal of Nonautologous Tissue Substitute from Left Tarsometatarsal Joint, Percutaneous Approach
  0SPL40Z Removal of Drainage Device from Left Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SPL43Z Removal of Infusion Device from Left Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SPL44Z Removal of Internal Fixation Device from Left Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SPL45Z Removal of External Fixation Device from Left Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SPL47Z Removal of Autologous Tissue Substitute from Left Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SPL4KZ Removal of Nonautologous Tissue Substitute from Left Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SPM00Z Removal of Drainage Device from Right Metatarsal-Phalangeal Joint, Open Approach
  0SPM03Z Removal of Infusion Device from Right Metatarsal-Phalangeal Joint, Open Approach
  0SPM04Z Removal of Internal Fixation Device from Right Metatarsal-Phalangeal Joint, Open Approach
  0SPM05Z Removal of External Fixation Device from Right Metatarsal-Phalangeal Joint, Open Approach
  0SPM07Z Removal of Autologous Tissue Substitute from Right Metatarsal-Phalangeal Joint, Open Approach
  0SPM0KZ Removal of Nonautologous Tissue Substitute from Right Metatarsal-Phalangeal Joint, Open Approach
  0SPM34Z Removal of Internal Fixation Device from Right Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SPM35Z Removal of External Fixation Device from Right Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SPM37Z Removal of Autologous Tissue Substitute from Right Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SPM3KZ Removal of Nonautologous Tissue Substitute from Right Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SPM40Z Removal of Drainage Device from Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPM43Z Removal of Infusion Device from Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPM44Z Removal of Internal Fixation Device from Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPM45Z Removal of External Fixation Device from Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPM47Z Removal of Autologous Tissue Substitute from Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPM4KZ Removal of Nonautologous Tissue Substitute from Right Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPN00Z Removal of Drainage Device from Left Metatarsal-Phalangeal Joint, Open Approach
  0SPN03Z Removal of Infusion Device from Left Metatarsal-Phalangeal Joint, Open Approach
  0SPN04Z Removal of Internal Fixation Device from Left Metatarsal-Phalangeal Joint, Open Approach
  0SPN05Z Removal of External Fixation Device from Left Metatarsal-Phalangeal Joint, Open Approach
  0SPN07Z Removal of Autologous Tissue Substitute from Left Metatarsal-Phalangeal Joint, Open Approach
  0SPN0KZ Removal of Nonautologous Tissue Substitute from Left Metatarsal-Phalangeal Joint, Open Approach
  0SPN34Z Removal of Internal Fixation Device from Left Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SPN35Z Removal of External Fixation Device from Left Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SPN37Z Removal of Autologous Tissue Substitute from Left Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SPN3KZ Removal of Nonautologous Tissue Substitute from Left Metatarsal-Phalangeal Joint, Percutaneous Approach
  0SPN40Z Removal of Drainage Device from Left Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPN43Z Removal of Infusion Device from Left Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPN44Z Removal of Internal Fixation Device from Left Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPN45Z Removal of External Fixation Device from Left Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPN47Z Removal of Autologous Tissue Substitute from Left Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPN4KZ Removal of Nonautologous Tissue Substitute from Left Metatarsal-Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPP00Z Removal of Drainage Device from Right Toe Phalangeal Joint, Open Approach
  0SPP03Z Removal of Infusion Device from Right Toe Phalangeal Joint, Open Approach
  0SPP04Z Removal of Internal Fixation Device from Right Toe Phalangeal Joint, Open Approach
  0SPP05Z Removal of External Fixation Device from Right Toe Phalangeal Joint, Open Approach
  0SPP07Z Removal of Autologous Tissue Substitute from Right Toe Phalangeal Joint, Open Approach
  0SPP0KZ Removal of Nonautologous Tissue Substitute from Right Toe Phalangeal Joint, Open Approach
  0SPP34Z Removal of Internal Fixation Device from Right Toe Phalangeal Joint, Percutaneous Approach
  0SPP35Z Removal of External Fixation Device from Right Toe Phalangeal Joint, Percutaneous Approach
  0SPP37Z Removal of Autologous Tissue Substitute from Right Toe Phalangeal Joint, Percutaneous Approach
  0SPP3KZ Removal of Nonautologous Tissue Substitute from Right Toe Phalangeal Joint, Percutaneous Approach
  0SPP40Z Removal of Drainage Device from Right Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPP43Z Removal of Infusion Device from Right Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPP44Z Removal of Internal Fixation Device from Right Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPP45Z Removal of External Fixation Device from Right Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPP47Z Removal of Autologous Tissue Substitute from Right Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPP4KZ Removal of Nonautologous Tissue Substitute from Right Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPQ00Z Removal of Drainage Device from Left Toe Phalangeal Joint, Open Approach
  0SPQ03Z Removal of Infusion Device from Left Toe Phalangeal Joint, Open Approach
  0SPQ04Z Removal of Internal Fixation Device from Left Toe Phalangeal Joint, Open Approach
  0SPQ05Z Removal of External Fixation Device from Left Toe Phalangeal Joint, Open Approach
  0SPQ07Z Removal of Autologous Tissue Substitute from Left Toe Phalangeal Joint, Open Approach
  0SPQ0KZ Removal of Nonautologous Tissue Substitute from Left Toe Phalangeal Joint, Open Approach
  0SPQ34Z Removal of Internal Fixation Device from Left Toe Phalangeal Joint, Percutaneous Approach
  0SPQ35Z Removal of External Fixation Device from Left Toe Phalangeal Joint, Percutaneous Approach
  0SPQ37Z Removal of Autologous Tissue Substitute from Left Toe Phalangeal Joint, Percutaneous Approach
  0SPQ3KZ Removal of Nonautologous Tissue Substitute from Left Toe Phalangeal Joint, Percutaneous Approach
  0SPQ40Z Removal of Drainage Device from Left Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPQ43Z Removal of Infusion Device from Left Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPQ44Z Removal of Internal Fixation Device from Left Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPQ45Z Removal of External Fixation Device from Left Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPQ47Z Removal of Autologous Tissue Substitute from Left Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SPQ4KZ Removal of Nonautologous Tissue Substitute from Left Toe Phalangeal Joint, Percutaneous Endoscopic Approach
  0SRH07Z Replacement of Right Tarsal Joint with Autologous Tissue Substitute, Open Approach
  0SRH0JZ Replacement of Right Tarsal Joint with Synthetic Substitute, Open Approach
  0SRH0KZ Replacement of Right Tarsal Joint with Nonautologous Tissue Substitute, Open Approach
  0SRJ07Z Replacement of Left Tarsal Joint with Autologous Tissue Substitute, Open Approach
  0SRJ0JZ Replacement of Left Tarsal Joint with Synthetic Substitute, Open Approach
  0SRJ0KZ Replacement of Left Tarsal Joint with Nonautologous Tissue Substitute, Open Approach
  0SRK07Z Replacement of Right Tarsometatarsal Joint with Autologous Tissue Substitute, Open Approach
  0SRK0JZ Replacement of Right Tarsometatarsal Joint with Synthetic Substitute, Open Approach
  0SRK0KZ Replacement of Right Tarsometatarsal Joint with Nonautologous Tissue Substitute, Open Approach
  0SRL07Z Replacement of Left Tarsometatarsal Joint with Autologous Tissue Substitute, Open Approach
  0SRL0JZ Replacement of Left Tarsometatarsal Joint with Synthetic Substitute, Open Approach
  0SRL0KZ Replacement of Left Tarsometatarsal Joint with Nonautologous Tissue Substitute, Open Approach
  0SRM07Z Replacement of Right Metatarsal-Phalangeal Joint with Autologous Tissue Substitute, Open Approach
  0SRM0JZ Replacement of Right Metatarsal-Phalangeal Joint with Synthetic Substitute, Open Approach
  0SRM0KZ Replacement of Right Metatarsal-Phalangeal Joint with Nonautologous Tissue Substitute, Open Approach
  0SRN07Z Replacement of Left Metatarsal-Phalangeal Joint with Autologous Tissue Substitute, Open Approach
  0SRN0JZ Replacement of Left Metatarsal-Phalangeal Joint with Synthetic Substitute, Open Approach
  0SRN0KZ Replacement of Left Metatarsal-Phalangeal Joint with Nonautologous Tissue Substitute, Open Approach
  0SRP07Z Replacement of Right Toe Phalangeal Joint with Autologous Tissue Substitute, Open Approach
  0SRP0JZ Replacement of Right Toe Phalangeal Joint with Synthetic Substitute, Open Approach
  0SRP0KZ Replacement of Right Toe Phalangeal Joint with Nonautologous Tissue Substitute, Open Approach
  0SRQ07Z Replacement of Left Toe Phalangeal Joint with Autologous Tissue Substitute, Open Approach
  0SRQ0JZ Replacement of Left Toe Phalangeal Joint with Synthetic Substitute, Open Approach
  0SRQ0KZ Replacement of Left Toe Phalangeal Joint with Nonautologous Tissue Substitute, Open Approach
  0SSH04Z Reposition Right Tarsal Joint with Internal Fixation Device, Open Approach
  0SSH05Z Reposition Right Tarsal Joint with External Fixation Device, Open Approach
  0SSH0ZZ Reposition Right Tarsal Joint, Open Approach
  0SSJ04Z Reposition Left Tarsal Joint with Internal Fixation Device, Open Approach
  0SSJ05Z Reposition Left Tarsal Joint with External Fixation Device, Open Approach
  0SSJ0ZZ Reposition Left Tarsal Joint, Open Approach
  0SSK04Z Reposition Right Tarsometatarsal Joint with Internal Fixation Device, Open Approach
  0SSK05Z Reposition Right Tarsometatarsal Joint with External Fixation Device, Open Approach
  0SSK0ZZ Reposition Right Tarsometatarsal Joint, Open Approach
  0SSL04Z Reposition Left Tarsometatarsal Joint with Internal Fixation Device, Open Approach
  0SSL05Z Reposition Left Tarsometatarsal Joint with External Fixation Device, Open Approach
  0SSL0ZZ Reposition Left Tarsometatarsal Joint, Open Approach
  0SSM04Z Reposition Right Metatarsal-Phalangeal Joint with Internal Fixation Device, Open Approach
  0SSM05Z Reposition Right Metatarsal-Phalangeal Joint with External Fixation Device, Open Approach
  0SSM0ZZ Reposition Right Metatarsal-Phalangeal Joint, Open Approach
  0SSN04Z Reposition Left Metatarsal-Phalangeal Joint with Internal Fixation Device, Open Approach
  0SSN05Z Reposition Left Metatarsal-Phalangeal Joint with External Fixation Device, Open Approach
  0SSN0ZZ Reposition Left Metatarsal-Phalangeal Joint, Open Approach
  0SSP04Z Reposition Right Toe Phalangeal Joint with Internal Fixation Device, Open Approach
  0SSP05Z Reposition Right Toe Phalangeal Joint with External Fixation Device, Open Approach
  0SSP0ZZ Reposition Right Toe Phalangeal Joint, Open Approach
  0SSQ04Z Reposition Left Toe Phalangeal Joint with Internal Fixation Device, Open Approach
  0SSQ05Z Reposition Left Toe Phalangeal Joint with External Fixation Device, Open Approach
  0SSQ0ZZ Reposition Left Toe Phalangeal Joint, Open Approach
  0STH0ZZ Resection of Right Tarsal Joint, Open Approach
  0STJ0ZZ Resection of Left Tarsal Joint, Open Approach
  0STK0ZZ Resection of Right Tarsometatarsal Joint, Open Approach
  0STL0ZZ Resection of Left Tarsometatarsal Joint, Open Approach
  0STM0ZZ Resection of Right Metatarsal-Phalangeal Joint, Open Approach
  0STN0ZZ Resection of Left Metatarsal-Phalangeal Joint, Open Approach
  0STP0ZZ Resection of Right Toe Phalangeal Joint, Open Approach
  0STQ0ZZ Resection of Left Toe Phalangeal Joint, Open Approach
  0SWH00Z Revision of Drainage Device in Right Tarsal Joint, Open Approach
  0SWH03Z Revision of Infusion Device in Right Tarsal Joint, Open Approach
  0SWH04Z Revision of Internal Fixation Device in Right Tarsal Joint, Open Approach
  0SWH05Z Revision of External Fixation Device in Right Tarsal Joint, Open Approach
  0SWH07Z Revision of Autologous Tissue Substitute in Right Tarsal Joint, Open Approach
  0SWH08Z Revision of Spacer in Right Tarsal Joint, Open Approach
  0SWH0KZ Revision of Nonautologous Tissue Substitute in Right Tarsal Joint, Open Approach
  0SWH30Z Revision of Drainage Device in Right Tarsal Joint, Percutaneous Approach
  0SWH33Z Revision of Infusion Device in Right Tarsal Joint, Percutaneous Approach
  0SWH34Z Revision of Internal Fixation Device in Right Tarsal Joint, Percutaneous Approach
  0SWH35Z Revision of External Fixation Device in Right Tarsal Joint, Percutaneous Approach
  0SWH37Z Revision of Autologous Tissue Substitute in Right Tarsal Joint, Percutaneous Approach
  0SWH38Z Revision of Spacer in Right Tarsal Joint, Percutaneous Approach
  0SWH3KZ Revision of Nonautologous Tissue Substitute in Right Tarsal Joint, Percutaneous Approach
  0SWH40Z Revision of Drainage Device in Right Tarsal Joint, Percutaneous Endoscopic Approach
  0SWH43Z Revision of Infusion Device in Right Tarsal Joint, Percutaneous Endoscopic Approach
  0SWH44Z Revision of Internal Fixation Device in Right Tarsal Joint, Percutaneous Endoscopic Approach
  0SWH45Z Revision of External Fixation Device in Right Tarsal Joint, Percutaneous Endoscopic Approach
  0SWH47Z Revision of Autologous Tissue Substitute in Right Tarsal Joint, Percutaneous Endoscopic Approach
  0SWH48Z Revision of Spacer in Right Tarsal Joint, Percutaneous Endoscopic Approach
  0SWH4KZ Revision of Nonautologous Tissue Substitute in Right Tarsal Joint, Percutaneous Endoscopic Approach
  0SWJ00Z Revision of Drainage Device in Left Tarsal Joint, Open Approach
  0SWJ03Z Revision of Infusion Device in Left Tarsal Joint, Open Approach
  0SWJ04Z Revision of Internal Fixation Device in Left Tarsal Joint, Open Approach
  0SWJ05Z Revision of External Fixation Device in Left Tarsal Joint, Open Approach
  0SWJ07Z Revision of Autologous Tissue Substitute in Left Tarsal Joint, Open Approach
  0SWJ08Z Revision of Spacer in Left Tarsal Joint, Open Approach
  0SWJ0KZ Revision of Nonautologous Tissue Substitute in Left Tarsal Joint, Open Approach
  0SWJ30Z Revision of Drainage Device in Left Tarsal Joint, Percutaneous Approach
  0SWJ33Z Revision of Infusion Device in Left Tarsal Joint, Percutaneous Approach
  0SWJ34Z Revision of Internal Fixation Device in Left Tarsal Joint, Percutaneous Approach
  0SWJ35Z Revision of External Fixation Device in Left Tarsal Joint, Percutaneous Approach
  0SWJ37Z Revision of Autologous Tissue Substitute in Left Tarsal Joint, Percutaneous Approach
  0SWJ38Z Revision of Spacer in Left Tarsal Joint, Percutaneous Approach
  0SWJ3KZ Revision of Nonautologous Tissue Substitute in Left Tarsal Joint, Percutaneous Approach
  0SWJ40Z Revision of Drainage Device in Left Tarsal Joint, Percutaneous Endoscopic Approach
  0SWJ43Z Revision of Infusion Device in Left Tarsal Joint, Percutaneous Endoscopic Approach
  0SWJ44Z Revision of Internal Fixation Device in Left Tarsal Joint, Percutaneous Endoscopic Approach
  0SWJ45Z Revision of External Fixation Device in Left Tarsal Joint, Percutaneous Endoscopic Approach
  0SWJ47Z Revision of Autologous Tissue Substitute in Left Tarsal Joint, Percutaneous Endoscopic Approach
  0SWJ48Z Revision of Spacer in Left Tarsal Joint, Percutaneous Endoscopic Approach
  0SWJ4KZ Revision of Nonautologous Tissue Substitute in Left Tarsal Joint, Percutaneous Endoscopic Approach
  0SWK00Z Revision of Drainage Device in Right Tarsometatarsal Joint, Open Approach
  0SWK03Z Revision of Infusion Device in Right Tarsometatarsal Joint, Open Approach
  0SWK04Z Revision of Internal Fixation Device in Right Tarsometatarsal Joint, Open Approach
  0SWK05Z Revision of External Fixation Device in Right Tarsometatarsal Joint, Open Approach
  0SWK07Z Revision of Autologous Tissue Substitute in Right Tarsometatarsal Joint, Open Approach
  0SWK08Z Revision of Spacer in Right Tarsometatarsal Joint, Open Approach
  0SWK0KZ Revision of Nonautologous Tissue Substitute in Right Tarsometatarsal Joint, Open Approach
  0SWK30Z Revision of Drainage Device in Right Tarsometatarsal Joint, Percutaneous Approach
  0SWK33Z Revision of Infusion Device in Right Tarsometatarsal Joint, Percutaneous Approach
  0SWK34Z Revision of Internal Fixation Device in Right Tarsometatarsal Joint, Percutaneous Approach
  0SWK35Z Revision of External Fixation Device in Right Tarsometatarsal Joint, Percutaneous Approach
  0SWK37Z Revision of Autologous Tissue Substitute in Right Tarsometatarsal Joint, Percutaneous Approach
  0SWK38Z Revision of Spacer in Right Tarsometatarsal Joint, Percutaneous Approach
  0SWK3KZ Revision of Nonautologous Tissue Substitute in Right Tarsometatarsal Joint, Percutaneous Approach
  0SWK40Z Revision of Drainage Device in Right Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SWK43Z Revision of Infusion Device in Right Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SWK44Z Revision of Internal Fixation Device in Right Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SWK45Z Revision of External Fixation Device in Right Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SWK47Z Revision of Autologous Tissue Substitute in Right Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SWK48Z Revision of Spacer in Right Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SWK4KZ Revision of Nonautologous Tissue Substitute in Right Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SWL00Z Revision of Drainage Device in Left Tarsometatarsal Joint, Open Approach
  0SWL03Z Revision of Infusion Device in Left Tarsometatarsal Joint, Open Approach
  0SWL04Z Revision of Internal Fixation Device in Left Tarsometatarsal Joint, Open Approach
  0SWL05Z Revision of External Fixation Device in Left Tarsometatarsal Joint, Open Approach
  0SWL07Z Revision of Autologous Tissue Substitute in Left Tarsometatarsal Joint, Open Approach
  0SWL08Z Revision of Spacer in Left Tarsometatarsal Joint, Open Approach
  0SWL0KZ Revision of Nonautologous Tissue Substitute in Left Tarsometatarsal Joint, Open Approach
  0SWL30Z Revision of Drainage Device in Left Tarsometatarsal Joint, Percutaneous Approach
  0SWL33Z Revision of Infusion Device in Left Tarsometatarsal Joint, Percutaneous Approach
  0SWL34Z Revision of Internal Fixation Device in Left Tarsometatarsal Joint, Percutaneous Approach
  0SWL35Z Revision of External Fixation Device in Left Tarsometatarsal Joint, Percutaneous Approach
  0SWL37Z Revision of Autologous Tissue Substitute in Left Tarsometatarsal Joint, Percutaneous Approach
  0SWL38Z Revision of Spacer in Left Tarsometatarsal Joint, Percutaneous Approach
  0SWL3KZ Revision of Nonautologous Tissue Substitute in Left Tarsometatarsal Joint, Percutaneous Approach
  0SWL40Z Revision of Drainage Device in Left Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SWL43Z Revision of Infusion Device in Left Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SWL44Z Revision of Internal Fixation Device in Left Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SWL45Z Revision of External Fixation Device in Left Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SWL47Z Revision of Autologous Tissue Substitute in Left Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SWL48Z Revision of Spacer in Left Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SWL4KZ Revision of Nonautologous Tissue Substitute in Left Tarsometatarsal Joint, Percutaneous Endoscopic Approach
  0SWM00Z Revision of Drainage Device in Right Metatarsal-Phalangeal Joint, Open Approach
  0SWM03Z Revision of Infusion Device in Right Metatarsal-Phalangeal Joint, Open Approach
  0SWM04Z Revision of Internal Fixation Device in Right Metatarsal-Phalangeal Joint, Open Approach
  0SWM05Z Revision of External Fixation Device in Right Metatarsal-Phalangeal Joint, Open Approach
  0SWM07Z Revision of Autologous Tissue Substitute in Right Metatarsal-Phalangeal Joint, Open Approach
  0SWM08Z Revision of Spacer in Right Metatarsal-Phalangeal Joint, Open Approach
  0SWM0KZ Revision of Nonautologous Tissue Substitute in Right Metatarsal-Phalangeal Joint, Open Approach
  0SWM30Z Revision of Drainage Device in Right Metatarsal-Phalangeal Joint, Percutaneous Approach
