:======================================================================:
|    MDC 12 Diseases and Disorders of the Male Reproductive System     |
:======================================================================:

MDC 12 Assignment of Diagnosis Codes

  A1814   Tuberculosis of prostate
  021Q48D  Bypass Right Pulmonary Artery from Carotid with Zooplastic Tissue, Percutaneous Endoscopic Approach
  021Q49A  Bypass Right Pulmonary Artery from Innominate Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  021Q49B  Bypass Right Pulmonary Artery from Subclavian with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  021Q49D  Bypass Right Pulmonary Artery from Carotid with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  021Q4AA  Bypass Right Pulmonary Artery from Innominate Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  021Q4AB  Bypass Right Pulmonary Artery from Subclavian with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  021Q4AD  Bypass Right Pulmonary Artery from Carotid with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  021Q4JA  Bypass Right Pulmonary Artery from Innominate Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  021Q4JB  Bypass Right Pulmonary Artery from Subclavian with Synthetic Substitute, Percutaneous Endoscopic Approach
  021Q4JD  Bypass Right Pulmonary Artery from Carotid with Synthetic Substitute, Percutaneous Endoscopic Approach
  021Q4KA  Bypass Right Pulmonary Artery from Innominate Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  021Q4KB  Bypass Right Pulmonary Artery from Subclavian with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  021Q4KD  Bypass Right Pulmonary Artery from Carotid with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  021Q4ZA  Bypass Right Pulmonary Artery from Innominate Artery with No Device, Percutaneous Endoscopic Approach
  021Q4ZB  Bypass Right Pulmonary Artery from Subclavian with No Device, Percutaneous Endoscopic Approach
  021Q4ZD  Bypass Right Pulmonary Artery from Carotid with No Device, Percutaneous Endoscopic Approach
  021R08A  Bypass Left Pulmonary Artery from Innominate Artery with Zooplastic Tissue, Open Approach
  021R08B  Bypass Left Pulmonary Artery from Subclavian with Zooplastic Tissue, Open Approach
  021R08D  Bypass Left Pulmonary Artery from Carotid with Zooplastic Tissue, Open Approach
  021R09A  Bypass Left Pulmonary Artery from Innominate Artery with Autologous Venous Tissue, Open Approach
  021R09B  Bypass Left Pulmonary Artery from Subclavian with Autologous Venous Tissue, Open Approach
  021R09D  Bypass Left Pulmonary Artery from Carotid with Autologous Venous Tissue, Open Approach
  021R0AA  Bypass Left Pulmonary Artery from Innominate Artery with Autologous Arterial Tissue, Open Approach
  021R0AB  Bypass Left Pulmonary Artery from Subclavian with Autologous Arterial Tissue, Open Approach
  021R0AD  Bypass Left Pulmonary Artery from Carotid with Autologous Arterial Tissue, Open Approach
  021R0JA  Bypass Left Pulmonary Artery from Innominate Artery with Synthetic Substitute, Open Approach
  021R0JB  Bypass Left Pulmonary Artery from Subclavian with Synthetic Substitute, Open Approach
  021R0JD  Bypass Left Pulmonary Artery from Carotid with Synthetic Substitute, Open Approach
  021R0KA  Bypass Left Pulmonary Artery from Innominate Artery with Nonautologous Tissue Substitute, Open Approach
  021R0KB  Bypass Left Pulmonary Artery from Subclavian with Nonautologous Tissue Substitute, Open Approach
  021R0KD  Bypass Left Pulmonary Artery from Carotid with Nonautologous Tissue Substitute, Open Approach
  021R0ZA  Bypass Left Pulmonary Artery from Innominate Artery with No Device, Open Approach
  021R0ZB  Bypass Left Pulmonary Artery from Subclavian with No Device, Open Approach
  021R0ZD  Bypass Left Pulmonary Artery from Carotid with No Device, Open Approach
  021R48A  Bypass Left Pulmonary Artery from Innominate Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
  021R48B  Bypass Left Pulmonary Artery from Subclavian with Zooplastic Tissue, Percutaneous Endoscopic Approach
  021R48D  Bypass Left Pulmonary Artery from Carotid with Zooplastic Tissue, Percutaneous Endoscopic Approach
  021R49A  Bypass Left Pulmonary Artery from Innominate Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  021R49B  Bypass Left Pulmonary Artery from Subclavian with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  021R49D  Bypass Left Pulmonary Artery from Carotid with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  021R4AA  Bypass Left Pulmonary Artery from Innominate Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  021R4AB  Bypass Left Pulmonary Artery from Subclavian with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  021R4AD  Bypass Left Pulmonary Artery from Carotid with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  021R4JA  Bypass Left Pulmonary Artery from Innominate Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  021R4JB  Bypass Left Pulmonary Artery from Subclavian with Synthetic Substitute, Percutaneous Endoscopic Approach
  021R4JD  Bypass Left Pulmonary Artery from Carotid with Synthetic Substitute, Percutaneous Endoscopic Approach
  021R4KA  Bypass Left Pulmonary Artery from Innominate Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  021R4KB  Bypass Left Pulmonary Artery from Subclavian with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  021R4KD  Bypass Left Pulmonary Artery from Carotid with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  021R4ZA  Bypass Left Pulmonary Artery from Innominate Artery with No Device, Percutaneous Endoscopic Approach
  021R4ZB  Bypass Left Pulmonary Artery from Subclavian with No Device, Percutaneous Endoscopic Approach
  021R4ZD  Bypass Left Pulmonary Artery from Carotid with No Device, Percutaneous Endoscopic Approach
  021V08S  Bypass Superior Vena Cava to Right Pulmonary Vein with Zooplastic Tissue, Open Approach
  021V08T  Bypass Superior Vena Cava to Left Pulmonary Vein with Zooplastic Tissue, Open Approach
  021V08U  Bypass Superior Vena Cava to Pulmonary Vein Confluence with Zooplastic Tissue, Open Approach
  021V09S  Bypass Superior Vena Cava to Right Pulmonary Vein with Autologous Venous Tissue, Open Approach
  021V09T  Bypass Superior Vena Cava to Left Pulmonary Vein with Autologous Venous Tissue, Open Approach
  021V09U  Bypass Superior Vena Cava to Pulmonary Vein Confluence with Autologous Venous Tissue, Open Approach
  021V0AS  Bypass Superior Vena Cava to Right Pulmonary Vein with Autologous Arterial Tissue, Open Approach
  021V0AT  Bypass Superior Vena Cava to Left Pulmonary Vein with Autologous Arterial Tissue, Open Approach
  021V0AU  Bypass Superior Vena Cava to Pulmonary Vein Confluence with Autologous Arterial Tissue, Open Approach
  021V0JS  Bypass Superior Vena Cava to Right Pulmonary Vein with Synthetic Substitute, Open Approach
  021V0JT  Bypass Superior Vena Cava to Left Pulmonary Vein with Synthetic Substitute, Open Approach
  021V0JU  Bypass Superior Vena Cava to Pulmonary Vein Confluence with Synthetic Substitute, Open Approach
  021V0KS  Bypass Superior Vena Cava to Right Pulmonary Vein with Nonautologous Tissue Substitute, Open Approach
  021V0KT  Bypass Superior Vena Cava to Left Pulmonary Vein with Nonautologous Tissue Substitute, Open Approach
  021V0KU  Bypass Superior Vena Cava to Pulmonary Vein Confluence with Nonautologous Tissue Substitute, Open Approach
  021V0ZS  Bypass Superior Vena Cava to Right Pulmonary Vein, Open Approach
  021V0ZT  Bypass Superior Vena Cava to Left Pulmonary Vein, Open Approach
  021V0ZU  Bypass Superior Vena Cava to Pulmonary Vein Confluence, Open Approach
  021V48S  Bypass Superior Vena Cava to Right Pulmonary Vein with Zooplastic Tissue, Percutaneous Endoscopic Approach
  021V48T  Bypass Superior Vena Cava to Left Pulmonary Vein with Zooplastic Tissue, Percutaneous Endoscopic Approach
  021V48U  Bypass Superior Vena Cava to Pulmonary Vein Confluence with Zooplastic Tissue, Percutaneous Endoscopic Approach
  021V49S  Bypass Superior Vena Cava to Right Pulmonary Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  021V49T  Bypass Superior Vena Cava to Left Pulmonary Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  021V49U  Bypass Superior Vena Cava to Pulmonary Vein Confluence with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  021V4AS  Bypass Superior Vena Cava to Right Pulmonary Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  021V4AT  Bypass Superior Vena Cava to Left Pulmonary Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  021V4AU  Bypass Superior Vena Cava to Pulmonary Vein Confluence with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  021V4JS  Bypass Superior Vena Cava to Right Pulmonary Vein with Synthetic Substitute, Percutaneous Endoscopic Approach
  021V4JT  Bypass Superior Vena Cava to Left Pulmonary Vein with Synthetic Substitute, Percutaneous Endoscopic Approach
  021V4JU  Bypass Superior Vena Cava to Pulmonary Vein Confluence with Synthetic Substitute, Percutaneous Endoscopic Approach
  021V4KS  Bypass Superior Vena Cava to Right Pulmonary Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  021V4KT  Bypass Superior Vena Cava to Left Pulmonary Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  021V4KU  Bypass Superior Vena Cava to Pulmonary Vein Confluence with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  021V4ZS  Bypass Superior Vena Cava to Right Pulmonary Vein, Percutaneous Endoscopic Approach
  021V4ZT  Bypass Superior Vena Cava to Left Pulmonary Vein, Percutaneous Endoscopic Approach
  021V4ZU  Bypass Superior Vena Cava to Pulmonary Vein Confluence, Percutaneous Endoscopic Approach
  021W08A  Bypass Thoracic Aorta, Descending to Innominate Artery with Zooplastic Tissue, Open Approach
  021W08B  Bypass Thoracic Aorta, Descending to Subclavian with Zooplastic Tissue, Open Approach
  021W08D  Bypass Thoracic Aorta, Descending to Carotid with Zooplastic Tissue, Open Approach
  021W08G  Bypass Thoracic Aorta, Descending to Axillary Artery with Zooplastic Tissue, Open Approach
  021W08H  Bypass Thoracic Aorta, Descending to Brachial Artery with Zooplastic Tissue, Open Approach
  021W09A  Bypass Thoracic Aorta, Descending to Innominate Artery with Autologous Venous Tissue, Open Approach
  021W09B  Bypass Thoracic Aorta, Descending to Subclavian with Autologous Venous Tissue, Open Approach
  021W09D  Bypass Thoracic Aorta, Descending to Carotid with Autologous Venous Tissue, Open Approach
  021W09G  Bypass Thoracic Aorta, Descending to Axillary Artery with Autologous Venous Tissue, Open Approach
  021W09H  Bypass Thoracic Aorta, Descending to Brachial Artery with Autologous Venous Tissue, Open Approach
  021W0AA  Bypass Thoracic Aorta, Descending to Innominate Artery with Autologous Arterial Tissue, Open Approach
  021W0AB  Bypass Thoracic Aorta, Descending to Subclavian with Autologous Arterial Tissue, Open Approach
  021W0AD  Bypass Thoracic Aorta, Descending to Carotid with Autologous Arterial Tissue, Open Approach
  021W0AG  Bypass Thoracic Aorta, Descending to Axillary Artery with Autologous Arterial Tissue, Open Approach
  021W0AH  Bypass Thoracic Aorta, Descending to Brachial Artery with Autologous Arterial Tissue, Open Approach
  021W0JA  Bypass Thoracic Aorta, Descending to Innominate Artery with Synthetic Substitute, Open Approach
  021W0JB  Bypass Thoracic Aorta, Descending to Subclavian with Synthetic Substitute, Open Approach
  021W0JD  Bypass Thoracic Aorta, Descending to Carotid with Synthetic Substitute, Open Approach
  021W0JG  Bypass Thoracic Aorta, Descending to Axillary Artery with Synthetic Substitute, Open Approach
  021W0JH  Bypass Thoracic Aorta, Descending to Brachial Artery with Synthetic Substitute, Open Approach
  021W0KA  Bypass Thoracic Aorta, Descending to Innominate Artery with Nonautologous Tissue Substitute, Open Approach
  021W0KB  Bypass Thoracic Aorta, Descending to Subclavian with Nonautologous Tissue Substitute, Open Approach
  021W0KD  Bypass Thoracic Aorta, Descending to Carotid with Nonautologous Tissue Substitute, Open Approach
  021W0KG  Bypass Thoracic Aorta, Descending to Axillary Artery with Nonautologous Tissue Substitute, Open Approach
  021W0KH  Bypass Thoracic Aorta, Descending to Brachial Artery with Nonautologous Tissue Substitute, Open Approach
  021W0ZA  Bypass Thoracic Aorta, Descending to Innominate Artery, Open Approach
  021W0ZB  Bypass Thoracic Aorta, Descending to Subclavian, Open Approach
  021W0ZD  Bypass Thoracic Aorta, Descending to Carotid, Open Approach
  021W48A  Bypass Thoracic Aorta, Descending to Innominate Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
  021W48B  Bypass Thoracic Aorta, Descending to Subclavian with Zooplastic Tissue, Percutaneous Endoscopic Approach
  021W48D  Bypass Thoracic Aorta, Descending to Carotid with Zooplastic Tissue, Percutaneous Endoscopic Approach
  021W49A  Bypass Thoracic Aorta, Descending to Innominate Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  021W49B  Bypass Thoracic Aorta, Descending to Subclavian with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  021W49D  Bypass Thoracic Aorta, Descending to Carotid with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  021W4AA  Bypass Thoracic Aorta, Descending to Innominate Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  021W4AB  Bypass Thoracic Aorta, Descending to Subclavian with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  021W4AD  Bypass Thoracic Aorta, Descending to Carotid with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  021W4JA  Bypass Thoracic Aorta, Descending to Innominate Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  021W4JB  Bypass Thoracic Aorta, Descending to Subclavian with Synthetic Substitute, Percutaneous Endoscopic Approach
  021W4JD  Bypass Thoracic Aorta, Descending to Carotid with Synthetic Substitute, Percutaneous Endoscopic Approach
  021W4KA  Bypass Thoracic Aorta, Descending to Innominate Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  021W4KB  Bypass Thoracic Aorta, Descending to Subclavian with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  021W4KD  Bypass Thoracic Aorta, Descending to Carotid with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  021W4ZA  Bypass Thoracic Aorta, Descending to Innominate Artery, Percutaneous Endoscopic Approach
  021W4ZB  Bypass Thoracic Aorta, Descending to Subclavian, Percutaneous Endoscopic Approach
  021W4ZD  Bypass Thoracic Aorta, Descending to Carotid, Percutaneous Endoscopic Approach
  021X08A  Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Zooplastic Tissue, Open Approach
  021X08B  Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Zooplastic Tissue, Open Approach
  021X08D  Bypass Thoracic Aorta, Ascending/Arch to Carotid with Zooplastic Tissue, Open Approach
  021X09A  Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Autologous Venous Tissue, Open Approach
  021X09B  Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Autologous Venous Tissue, Open Approach
  021X09D  Bypass Thoracic Aorta, Ascending/Arch to Carotid with Autologous Venous Tissue, Open Approach
  021X0AA  Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Autologous Arterial Tissue, Open Approach
  021X0AB  Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Autologous Arterial Tissue, Open Approach
  021X0AD  Bypass Thoracic Aorta, Ascending/Arch to Carotid with Autologous Arterial Tissue, Open Approach
  021X0JA  Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Synthetic Substitute, Open Approach
  021X0JB  Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Synthetic Substitute, Open Approach
  021X0JD  Bypass Thoracic Aorta, Ascending/Arch to Carotid with Synthetic Substitute, Open Approach
  021X0KA  Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Nonautologous Tissue Substitute, Open Approach
  021X0KB  Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Nonautologous Tissue Substitute, Open Approach
  021X0KD  Bypass Thoracic Aorta, Ascending/Arch to Carotid with Nonautologous Tissue Substitute, Open Approach
  021X0ZA  Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery, Open Approach
  021X0ZB  Bypass Thoracic Aorta, Ascending/Arch to Subclavian, Open Approach
  021X0ZD  Bypass Thoracic Aorta, Ascending/Arch to Carotid, Open Approach
  021X48A  Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
  021X48B  Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Zooplastic Tissue, Percutaneous Endoscopic Approach
  021X48D  Bypass Thoracic Aorta, Ascending/Arch to Carotid with Zooplastic Tissue, Percutaneous Endoscopic Approach
  021X49A  Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  021X49B  Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  021X49D  Bypass Thoracic Aorta, Ascending/Arch to Carotid with Autologous Venous Tissue, Percutaneous Endoscopic Approach
  021X4AA  Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  021X4AB  Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  021X4AD  Bypass Thoracic Aorta, Ascending/Arch to Carotid with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
  021X4JA  Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
  021X4JB  Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Synthetic Substitute, Percutaneous Endoscopic Approach
  021X4JD  Bypass Thoracic Aorta, Ascending/Arch to Carotid with Synthetic Substitute, Percutaneous Endoscopic Approach
  021X4KA  Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  021X4KB  Bypass Thoracic Aorta, Ascending/Arch to Subclavian with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  021X4KD  Bypass Thoracic Aorta, Ascending/Arch to Carotid with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
  021X4ZA  Bypass Thoracic Aorta, Ascending/Arch to Innominate Artery, Percutaneous Endoscopic Approach
  021X4ZB  Bypass Thoracic Aorta, Ascending/Arch to Subclavian, Percutaneous Endoscopic Approach
  021X4ZD  Bypass Thoracic Aorta, Ascending/Arch to Carotid, Percutaneous Endoscopic Approach
  025N0ZZ  Destruction of Pericardium, Open Approach
  025N3ZZ  Destruction of Pericardium, Percutaneous Approach
  025N4ZZ  Destruction of Pericardium, Percutaneous Endoscopic Approach
  027K04Z  Dilation of Right Ventricle with Drug-eluting Intraluminal Device, Open Approach
  027K0DZ  Dilation of Right Ventricle with Intraluminal Device, Open Approach
  027K0ZZ  Dilation of Right Ventricle, Open Approach
  027K34Z  Dilation of Right Ventricle with Drug-eluting Intraluminal Device, Percutaneous Approach
  027K3DZ  Dilation of Right Ventricle with Intraluminal Device, Percutaneous Approach
  027K3ZZ  Dilation of Right Ventricle, Percutaneous Approach
  027K44Z  Dilation of Right Ventricle with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
  027K4DZ  Dilation of Right Ventricle with Intraluminal Device, Percutaneous Endoscopic Approach
  027K4ZZ  Dilation of Right Ventricle, Percutaneous Endoscopic Approach
  027L04Z  Dilation of Left Ventricle with Drug-eluting Intraluminal Device, Open Approach
  027L0DZ  Dilation of Left Ventricle with Intraluminal Device, Open Approach
  027L0ZZ  Dilation of Left Ventricle, Open Approach
  027L34Z  Dilation of Left Ventricle with Drug-eluting Intraluminal Device, Percutaneous Approach
  027L3DZ  Dilation of Left Ventricle with Intraluminal Device, Percutaneous Approach
  027L3ZZ  Dilation of Left Ventricle, Percutaneous Approach
  027L44Z  Dilation of Left Ventricle with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
  027L4DZ  Dilation of Left Ventricle with Intraluminal Device, Percutaneous Endoscopic Approach
  027L4ZZ  Dilation of Left Ventricle, Percutaneous Endoscopic Approach
  027R04T  Dilation of Ductus Arteriosus with Drug-eluting Intraluminal Device, Open Approach
  027R0DT  Dilation of Ductus Arteriosus with Intraluminal Device, Open Approach
  027R0ZT  Dilation of Ductus Arteriosus, Open Approach
  027R34T  Dilation of Ductus Arteriosus with Drug-eluting Intraluminal Device, Percutaneous Approach
  027R3DT  Dilation of Ductus Arteriosus with Intraluminal Device, Percutaneous Approach
  027R3ZT  Dilation of Ductus Arteriosus, Percutaneous Approach
  027R44T  Dilation of Ductus Arteriosus with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
  027R4DT  Dilation of Ductus Arteriosus with Intraluminal Device, Percutaneous Endoscopic Approach
  027R4ZT  Dilation of Ductus Arteriosus, Percutaneous Endoscopic Approach
  02BN0ZZ  Excision of Pericardium, Open Approach
  02BN3ZZ  Excision of Pericardium, Percutaneous Approach
  02BN4ZZ  Excision of Pericardium, Percutaneous Endoscopic Approach
  02BP3ZZ  Excision of Pulmonary Trunk, Percutaneous Approach
  02BQ3ZZ  Excision of Right Pulmonary Artery, Percutaneous Approach
  02BR3ZZ  Excision of Left Pulmonary Artery, Percutaneous Approach
  02BS3ZZ  Excision of Right Pulmonary Vein, Percutaneous Approach
  02BT3ZZ  Excision of Left Pulmonary Vein, Percutaneous Approach
  02BV3ZZ  Excision of Superior Vena Cava, Percutaneous Approach
  02BW0ZZ  Excision of Thoracic Aorta, Descending, Open Approach
  02BW3ZZ  Excision of Thoracic Aorta, Descending, Percutaneous Approach
  02BW4ZZ  Excision of Thoracic Aorta, Descending, Percutaneous Endoscopic Approach
  02BX0ZZ  Excision of Thoracic Aorta, Ascending/Arch, Open Approach
  02BX3ZZ  Excision of Thoracic Aorta, Ascending/Arch, Percutaneous Approach
  02BX4ZZ  Excision of Thoracic Aorta, Ascending/Arch, Percutaneous Endoscopic Approach
  02CN0ZZ  Extirpation of Matter from Pericardium, Open Approach
  02CN3ZZ  Extirpation of Matter from Pericardium, Percutaneous Approach
  02CN4ZZ  Extirpation of Matter from Pericardium, Percutaneous Endoscopic Approach
  02CP0ZZ  Extirpation of Matter from Pulmonary Trunk, Open Approach
  02CP3ZZ  Extirpation of Matter from Pulmonary Trunk, Percutaneous Approach
  02CP4ZZ  Extirpation of Matter from Pulmonary Trunk, Percutaneous Endoscopic Approach
  02CQ0ZZ  Extirpation of Matter from Right Pulmonary Artery, Open Approach
  02CQ3ZZ  Extirpation of Matter from Right Pulmonary Artery, Percutaneous Approach
  02CQ4ZZ  Extirpation of Matter from Right Pulmonary Artery, Percutaneous Endoscopic Approach
  02CR0ZZ  Extirpation of Matter from Left Pulmonary Artery, Open Approach
  02CR3ZZ  Extirpation of Matter from Left Pulmonary Artery, Percutaneous Approach
  02CR4ZZ  Extirpation of Matter from Left Pulmonary Artery, Percutaneous Endoscopic Approach
  02CS0ZZ  Extirpation of Matter from Right Pulmonary Vein, Open Approach
  02CS3ZZ  Extirpation of Matter from Right Pulmonary Vein, Percutaneous Approach
  02CS4ZZ  Extirpation of Matter from Right Pulmonary Vein, Percutaneous Endoscopic Approach
  02CT0ZZ  Extirpation of Matter from Left Pulmonary Vein, Open Approach
  02CT3ZZ  Extirpation of Matter from Left Pulmonary Vein, Percutaneous Approach
  02CT4ZZ  Extirpation of Matter from Left Pulmonary Vein, Percutaneous Endoscopic Approach
  02CV0ZZ  Extirpation of Matter from Superior Vena Cava, Open Approach
  02CV3ZZ  Extirpation of Matter from Superior Vena Cava, Percutaneous Approach
  02CV4ZZ  Extirpation of Matter from Superior Vena Cava, Percutaneous Endoscopic Approach
  02CW0ZZ  Extirpation of Matter from Thoracic Aorta, Descending, Open Approach
  02CW3ZZ  Extirpation of Matter from Thoracic Aorta, Descending, Percutaneous Approach
  02CW4ZZ  Extirpation of Matter from Thoracic Aorta, Descending, Percutaneous Endoscopic Approach
  02CX0ZZ  Extirpation of Matter from Thoracic Aorta, Ascending/Arch, Open Approach
  02CX3ZZ  Extirpation of Matter from Thoracic Aorta, Ascending/Arch, Percutaneous Approach
  02CX4ZZ  Extirpation of Matter from Thoracic Aorta, Ascending/Arch, Percutaneous Endoscopic Approach
  02FN0ZZ  Fragmentation in Pericardium, Open Approach
  02FN3ZZ  Fragmentation in Pericardium, Percutaneous Approach
  02FN4ZZ  Fragmentation in Pericardium, Percutaneous Endoscopic Approach
  02H602Z  Insertion of Monitoring Device into Right Atrium, Open Approach
  02H642Z  Insertion of Monitoring Device into Right Atrium, Percutaneous Endoscopic Approach
  02H702Z  Insertion of Monitoring Device into Left Atrium, Open Approach
  02H742Z  Insertion of Monitoring Device into Left Atrium, Percutaneous Endoscopic Approach
  02HL02Z  Insertion of Monitoring Device into Left Ventricle, Open Approach
  02HL42Z  Insertion of Monitoring Device into Left Ventricle, Percutaneous Endoscopic Approach
  02HN00Z  Insertion of Pressure Sensor Monitoring Device into Pericardium, Open Approach
  02HN02Z  Insertion of Monitoring Device into Pericardium, Open Approach
  02HN0YZ  Insertion of Other Device into Pericardium, Open Approach
  02HN30Z  Insertion of Pressure Sensor Monitoring Device into Pericardium, Percutaneous Approach
  02HN3YZ  Insertion of Other Device into Pericardium, Percutaneous Approach
  02HN40Z  Insertion of Pressure Sensor Monitoring Device into Pericardium, Percutaneous Endoscopic Approach
  02HN42Z  Insertion of Monitoring Device into Pericardium, Percutaneous Endoscopic Approach
  02HN4YZ  Insertion of Other Device into Pericardium, Percutaneous Endoscopic Approach
  02HV02Z  Insertion of Monitoring Device into Superior Vena Cava, Open Approach
  02HV0DZ  Insertion of Intraluminal Device into Superior Vena Cava, Open Approach
  02HV3DZ  Insertion of Intraluminal Device into Superior Vena Cava, Percutaneous Approach
  02HV42Z  Insertion of Monitoring Device into Superior Vena Cava, Percutaneous Endoscopic Approach
  02HV4DZ  Insertion of Intraluminal Device into Superior Vena Cava, Percutaneous Endoscopic Approach
  02JA0ZZ  Inspection of Heart, Open Approach
  02JY0ZZ  Inspection of Great Vessel, Open Approach
  02LH0CZ  Occlusion of Pulmonary Valve with Extraluminal Device, Open Approach
  02LH0DZ  Occlusion of Pulmonary Valve with Intraluminal Device, Open Approach
  02LH0ZZ  Occlusion of Pulmonary Valve, Open Approach
  02LH3CZ  Occlusion of Pulmonary Valve with Extraluminal Device, Percutaneous Approach
  02LH3DZ  Occlusion of Pulmonary Valve with Intraluminal Device, Percutaneous Approach
  02LH3ZZ  Occlusion of Pulmonary Valve, Percutaneous Approach
  02LH4CZ  Occlusion of Pulmonary Valve with Extraluminal Device, Percutaneous Endoscopic Approach
  02LH4DZ  Occlusion of Pulmonary Valve with Intraluminal Device, Percutaneous Endoscopic Approach
  02LH4ZZ  Occlusion of Pulmonary Valve, Percutaneous Endoscopic Approach
  02LP0CZ  Occlusion of Pulmonary Trunk with Extraluminal Device, Open Approach
  02LP0DZ  Occlusion of Pulmonary Trunk with Intraluminal Device, Open Approach
  02LP0ZZ  Occlusion of Pulmonary Trunk, Open Approach
  02LP3CZ  Occlusion of Pulmonary Trunk with Extraluminal Device, Percutaneous Approach
  02LP3DZ  Occlusion of Pulmonary Trunk with Intraluminal Device, Percutaneous Approach
  02LP3ZZ  Occlusion of Pulmonary Trunk, Percutaneous Approach
  02LP4CZ  Occlusion of Pulmonary Trunk with Extraluminal Device, Percutaneous Endoscopic Approach
  02LP4DZ  Occlusion of Pulmonary Trunk with Intraluminal Device, Percutaneous Endoscopic Approach
  02LP4ZZ  Occlusion of Pulmonary Trunk, Percutaneous Endoscopic Approach
  02LQ0CZ  Occlusion of Right Pulmonary Artery with Extraluminal Device, Open Approach
  02LQ0DZ  Occlusion of Right Pulmonary Artery with Intraluminal Device, Open Approach
  02LQ0ZZ  Occlusion of Right Pulmonary Artery, Open Approach
